epsilon;delta;mu;toivonen;toivonen_fi_size;toivonen_threshold;d-bound;d-bound_fi_size;common_size;common_precent;milliseconds
0.009999999999999998;0.009999999999999998;0.009999999999999998;26491.0;1571460.2;246.0;952103.0;1586205.8;1350815.4;85.56878915966468;19076.232361793518
0.009999999999999998;0.009999999999999998;0.049999999999999996;26491.0;1583498.6;199.0;952103.0;1587809.0;1302513.0;82.11665336154691;19378.181266784668
0.009999999999999998;0.009999999999999998;0.09999999999999999;26491.0;1562857.0;174.0;952103.0;1585025.0;1313981.8;83.48340303500731;19110.45639514923
0.009999999999999998;0.049999999999999996;0.009999999999999998;18444.0;1589689.0;206.0;919914.0;1586738.6;1308940.2;82.50791537813994;18604.131197929382
0.009999999999999998;0.049999999999999996;0.049999999999999996;18444.0;1596777.0;166.0;919914.0;1583673.0;1344661.8;84.58487688932193;19083.207058906555
0.009999999999999998;0.049999999999999996;0.09999999999999999;18444.0;1606197.8;145.0;919914.0;1584873.0;1238418.6;77.6203409803388;18800.40500164032
0.009999999999999998;0.09999999999999999;0.009999999999999998;14978.0;1578055.4;185.0;906051.0;1586637.8;1221941.8;77.24364338875684;17805.51028251648
0.009999999999999998;0.09999999999999999;0.049999999999999996;14978.0;1587204.2;149.0;906051.0;1586735.4;1279285.8;80.66174435184959;18099.203538894653
0.009999999999999998;0.09999999999999999;0.09999999999999999;14978.0;1622906.6;131.0;906051.0;1584994.6;1292949.8;80.65455952346022;18044.863080978394
0.015000000000000003;0.009999999999999998;0.009999999999999998;11774.0;1613085.8;164.0;423157.0;1583007.4;1177796.2;73.62782257979737;13798.071098327637
0.015000000000000003;0.009999999999999998;0.049999999999999996;11774.0;1568231.4;132.0;423157.0;1584292.2;1196164.2;75.92960263652894;13597.912311553955
0.015000000000000003;0.009999999999999998;0.09999999999999999;11774.0;1600537.0;116.0;423157.0;1585196.2;1242281.0;77.96906513983663;13937.4675989151
0.015000000000000003;0.049999999999999996;0.009999999999999998;8197.0;1588457.0;137.0;408850.0;1587860.2;1178119.4;74.19258935204661;13489.628338813782
0.015000000000000003;0.049999999999999996;0.049999999999999996;8197.0;1570619.4;110.0;408850.0;1586074.6;1084724.2;68.8832759238508;13299.028992652893
0.015000000000000003;0.049999999999999996;0.09999999999999999;8197.0;1588543.5;97.0;408850.0;1588889.0;1071869.9;67.58068368651273;13596.238470077515
0.015000000000000003;0.09999999999999999;0.009999999999999998;6657.0;1649658.7;123.0;402689.0;1579609.0;1163833.1;72.01994573271385;13739.658784866333
0.015000000000000003;0.09999999999999999;0.049999999999999996;6657.0;1641956.4;99.0;402689.0;1587431.4;1213775.6;75.18982629913395;14474.389481544495
0.015000000000000003;0.09999999999999999;0.09999999999999999;6657.0;1621609.3;87.0;402689.0;1597605.8;1117708.5;69.53473603161527;14030.422472953796
0.019999999999999997;0.009999999999999998;0.009999999999999998;6622.0;1586738.6;123.0;238025.0;1587807.4;1094449.0;68.95795987715906;13099.272298812866
0.019999999999999997;0.009999999999999998;0.049999999999999996;6622.0;1611694.0;99.0;238025.0;1590786.6;1199978.8;75.04129061676768;13360.999822616577
0.019999999999999997;0.009999999999999998;0.09999999999999999;6622.0;1589071.5;87.0;238025.0;1593621.8;1139944.3;71.69039161935777;12931.747579574585
0.019999999999999997;0.049999999999999996;0.009999999999999998;4611.0;1604968.3;103.0;229978.0;1596580.2;1066921.1;66.91779699729561;12384.220218658447
0.019999999999999997;0.049999999999999996;0.049999999999999996;4611.0;1549920.5;83.0;229978.0;1584460.2;1018210.7;65.11023775850765;12317.402362823486
0.019999999999999997;0.049999999999999996;0.09999999999999999;4611.0;1526260.3;72.0;229978.0;1585092.2;1012503.8;65.13749589930822;12834.926748275757
0.019999999999999997;0.09999999999999999;0.009999999999999998;3744.0;1600783.5;92.0;226512.0;1588730.6;1002521.5;62.87704429665914;12322.712922096252
0.019999999999999997;0.09999999999999999;0.049999999999999996;3744.0;1706057.2;74.0;226512.0;1587285.8;1011345.2;61.64596381525779;12362.931299209595
0.019999999999999997;0.09999999999999999;0.09999999999999999;3744.0;1655494.0;65.0;226512.0;1581148.2;954549.1;59.259996111363705;11545.829606056213
0.024999999999999998;0.009999999999999998;0.009999999999999998;4238.0;1645887.5;98.0;152336.0;1593605.8;1035151.2;64.15386290451153;11342.90599822998
0.024999999999999998;0.009999999999999998;0.049999999999999996;4238.0;1621266.9;79.0;152336.0;1590865.0;1030241.3;64.17499896581225;12006.776094436646
0.024999999999999998;0.009999999999999998;0.09999999999999999;4238.0;1562190.0;69.0;152336.0;1586810.6;1014747.9;64.41555569373475;11729.014372825623
0.024999999999999998;0.049999999999999996;0.009999999999999998;2951.0;1538712.4;82.0;147186.0;1581773.8;883557.9;56.919952411467385;10916.53287410736
0.024999999999999998;0.049999999999999996;0.049999999999999996;2951.0;1601556.5;66.0;147186.0;1582263.4;996238.1;62.63287172799285;12165.943884849548
0.024999999999999998;0.049999999999999996;0.09999999999999999;2951.0;1563889.2;58.0;147186.0;1592761.0;991169.2;63.269546897526354;11860.10513305664
0.024999999999999998;0.09999999999999999;0.009999999999999998;2396.0;1715820.3;74.0;144968.0;1579079.4;926634.3;56.589238867436094;11653.473973274231
0.024999999999999998;0.09999999999999999;0.049999999999999996;2396.0;1645926.1;59.0;144968.0;1593604.2;878777.7;54.31674675351193;11290.664100646973
0.024999999999999998;0.09999999999999999;0.09999999999999999;2396.0;1621527.7;52.0;144968.0;1574977.0;911327.7;56.921199871258594;11743.440413475037
